state,county,current_votes,total_votes,percent,DEM,REP,usa_state,usa_state_code,percent_democrat,percent_republican,vote_margin,current_votes_percent,total_votes_percent,winning_candidate,winning_votes,margin_of_victory
Missouri,Cass County,57142,114550,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.88389349585435,99.99999999912703,total_votes,114550,57408
Missouri,Cedar County,7029,14073,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.94670645562803,99.99999999289419,total_votes,14073,7044
Missouri,Chariton County,4072,8149,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.96932138299554,99.99999998772854,total_votes,8149,4077
Missouri,Christian County,46660,93499,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.90427705055772,99.99999999893048,total_votes,93499,46839
Missouri,Clark County,3372,6766,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.83742239878253,99.99999998522021,total_votes,6766,3394
Missouri,Clay County,125878,252447,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.86313958949854,99.99999999960387,total_votes,252447,126569
Missouri,Clinton County,10824,21712,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.85261606255285,99.99999999539425,total_votes,21712,10888
Missouri,Cole County,39573,79146,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.999999999368264,99.99999999873653,total_votes,79146,39573
Missouri,Cooper County,8666,17359,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.922230540358186,99.9999999942393,total_votes,17359,8693
Missouri,Crawford County,10932,21905,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.90641405843842,99.99999999543483,total_votes,21905,10973
Missouri,Dade County,4105,8224,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.91488326241307,99.99999998784045,total_votes,8224,4119
Missouri,Dallas County,8095,16199,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.972220504353835,99.99999999382678,total_votes,16199,8104
Missouri,Daviess County,3880,7791,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.801052490078156,99.99999998716468,total_votes,7791,3911
Missouri,Dekalb County,4816,9659,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.86023397351069,99.99999998964697,total_votes,9659,4843
Missouri,Dent County,7113,14255,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.89828130130493,99.99999999298491,total_votes,14255,7142
Missouri,Douglas County,6971,13971,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.89621358171239,99.99999999284232,total_votes,13971,7000
Missouri,Dunklin County,10309,20728,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.73465843063804,99.9999999951756,total_votes,20728,10419
Missouri,Franklin County,53370,107055,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.85287936061041,99.9999999990659,total_votes,107055,53685
Missouri,Gasconade County,7870,15793,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.832204137919824,99.99999999366807,total_votes,15793,7923
Missouri,Gentry County,3220,6457,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.8683599117441,99.99999998451293,total_votes,6457,3237
Missouri,Greene County,141624,283424,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.9689511119384,99.99999999964717,total_votes,283424,141800
Missouri,Grundy County,4426,8863,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.93794425703058,99.99999998871714,total_votes,8863,4437
Missouri,Harrison County,3800,7626,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.82953054683588,99.99999998688696,total_votes,7626,3826
Missouri,Henry County,10714,21502,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.82792298159111,99.99999999534927,total_votes,21502,10788
Missouri,Hickory County,5063,10143,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.916198358482085,99.99999999014098,total_votes,10143,5080
Missouri,Holt County,2333,4677,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.882403239281075,99.99999997861877,total_votes,4677,2344
Missouri,Howard County,5066,10157,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.876932160098754,99.99999999015456,total_votes,10157,5091
Missouri,Howell County,18528,37176,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.8386055506284,99.9999999973101,total_votes,37176,18648
Missouri,Iron County,4531,9123,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.66568014362976,99.99999998903868,total_votes,9123,4592
Missouri,Jackson County,331357,665412,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.79726845916545,99.99999999984972,total_votes,665412,334055
Missouri,Jasper County,52160,104512,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.90814451881212,99.99999999904318,total_votes,104512,52352
Missouri,Jefferson County,115694,232366,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.78955613106139,99.99999999956964,total_votes,232366,116672
Missouri,Johnson County,23027,46150,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.895991331529885,99.99999999783316,total_votes,46150,23123
Missouri,Knox County,1834,3690,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.70189700550085,99.99999997289973,total_votes,3690,1856
Missouri,Laclede County,16770,33562,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.96722483612516,99.99999999702044,total_votes,33562,16792
Missouri,Lafayette County,17033,34085,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.97212850080762,99.99999999706615,total_votes,34085,17052
Missouri,Lawrence County,17813,35722,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.86562902273485,99.9999999972006,total_votes,35722,17909
Missouri,Lewis County,4568,9177,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.7766154462486,99.99999998910319,total_votes,9177,4609
Missouri,Lincoln County,28905,57922,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.90331825472354,99.99999999827354,total_votes,57922,29017
Missouri,Linn County,5691,11577,95,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.15781290065148,99.99999999136217,total_votes,11577,5886
Missouri,Livingston County,6709,13466,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.82177335141677,99.99999999257389,total_votes,13466,6757
Missouri,Mcdonald County,8967,18019,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.764137851725174,99.9999999944503,total_votes,18019,9052
Missouri,Macon County,7797,15633,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.875263861710785,99.99999999360327,total_votes,15633,7836
Missouri,Madison County,5658,11334,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.92059290189513,99.99999999117699,total_votes,11334,5676
Missouri,Maries County,4772,9544,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.999999994761104,99.99999998952221,total_votes,9544,4772
Missouri,Marion County,13282,26630,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.876079607590086,99.99999999624484,total_votes,26630,13348
Missouri,Mercer County,1765,3544,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.80248305592481,99.99999997178331,total_votes,3544,1779
Missouri,Miller County,12326,24706,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.8907148041006,99.9999999959524,total_votes,24706,12380
Missouri,Mississippi County,4695,9451,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.67728282195775,99.99999998941911,total_votes,9451,4756
Missouri,Moniteau County,7152,14309,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.98252847508683,99.99999999301139,total_votes,14309,7157
Missouri,Monroe County,4438,8921,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.74778611705551,99.99999998879049,total_votes,8921,4483
Missouri,Montgomery County,5749,11521,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.900182271512875,99.9999999913202,total_votes,11521,5772
Missouri,Morgan County,9456,18943,100,1242851,1711848,Missouri,MO,42.0635401440214,57.9364598559785,468997,49.918175576734505,99.999999994721,total_votes,18943,9487
